	Datacenter	URL	IP v4 addresses	IP v6 range in DB
logo K&k Corporation Ltd	K&k Corporation Ltd	http://www.kandk.co.jp/	56,344  	 
logo Servers Australia	Servers Australia	https://www.serversaustralia.com.au/	54,527  	Yes
logo DimeNOC	DimeNOC	http://dimenoc.com/	53,248  	 
logo Handy Networks LLC	Handy Networks LLC	https://www.handynetworks.com/	53,248  	Yes
logo Jumpline Inc	Jumpline Inc	http://www.jumpline.com/	53,248  	 
logo Nexeon Technologies, Inc	Nexeon Technologies, Inc	https://nexeon.com/	53,248  	Yes
logo thorn.net	thorn.net	http://www.thorn.net/	53,248  	 
logo RamNode LLC	RamNode LLC	http://www.ramnode.com/	52,224  	Yes
logo Staminus Communications	Staminus Communications	http://staminus.net/	52,224  	 
logo GigeNET	GigeNET	https://www.gigenet.com/	51,718  	 
logo Hostinger	Hostinger	http://www.hostinger.com/	51,455  	Yes
logo TE Bilişim	TE Bilişim	http://www.tebilisim.com/	50,432  	 
logo simcentric	simcentric	http://simcentric.com/	50,176  	 
logo KEYWEB AG	KEYWEB AG	https://www.keyweb.de/	49,696  	 
logo Reliable Hosting	Reliable Hosting	http://reliablehosting.com/	48,704  	 
logo PlusServer GmbH	PlusServer GmbH	https://www.plusserver.com/	48,640  	 
logo UpCloud	UpCloud	https://www.upcloud.com/	47,104  	Yes
logo EasyHost BVBA	EasyHost BVBA	http://www.easyhost.be/	46,112  	 
logo IPC (IP Converge Data Services, Inc.)	IPC (IP Converge Data Services, Inc.)	https://www.ipc.ph/	46,080  	 
logo Gandi SAS	Gandi SAS	https://www.gandi.net/	45,568  	Yes
logo KVC Hosting LLC	KVC Hosting LLC	https://www.kvchosting.net/	45,568  	 
logo ColoStore	ColoStore	http://colostore.com/	45,056  	 
logo Oz Servers Pty Ltd.	Oz Servers Pty Ltd.	https://www.ozservers.com.au/	45,056  	 
logo Pulsant Ltd	Pulsant Ltd	https://www.pulsant.com/	45,056  	Yes
logo Bytemark Limited	Bytemark Limited	https://www.bytemark.co.uk/	44,848  	Yes
logo Incero LLC.	Incero LLC.	https://www.incero.com/	44,032  	Yes
logo wiredtree	wiredtree	http://www.wiredtree.com/	44,032  	 
logo Afrihost (Pty) Ltd	Afrihost (Pty) Ltd	https://www.afrihost.com/	42,752  	 
logo UK Dedicated Servers LTD	UK Dedicated Servers LTD	https://www.ukservers.com/	42,596  	Yes
logo BlazingSEO	BlazingSEO	https://blazingseollc.com/	42,240  	 
logo Solar VPS LLC	Solar VPS LLC	http://www.solarvps.com/	42,240  	 
logo Crucial Paradigm Pty. Ltd	Crucial Paradigm Pty. Ltd	http://www.crucialp.com/	41,984  	 
logo Ecritel	Ecritel	http://www.ecritel.fr/	41,984  	 
logo Web.com, Inc	Web.com, Inc	http://www.web.com/	41,730  	 
logo Cloud South	Cloud South	http://www.cloudsouth.com/	41,472  	 
logo First Colo GmbH	First Colo GmbH	https://www.first-colo.net/	41,216  	 
logo NYI	NYI	https://www.nyi.net/	41,216  	 
logo Lunar Pages	Lunar Pages	http://www.lunarpages.com/	40,960  	 
logo Netelligent	Netelligent	http://www.netelligent.ca/en/ca	40,960  	 
logo Unbelievable Machine	Unbelievable Machine	http://www.unbelievable-machine.com/	40,960  	 
logo avantehosting.net	avantehosting.net	https://avantehosting.net/	39,936  	 
logo Master Internet	Master Internet	https://www.master.cz/	39,936  	Yes
logo TimeWeb Co. LTD	TimeWeb Co. LTD	https://timeweb.com/	39,680  	Yes
logo Gyron Internet Ltd	Gyron Internet Ltd	https://www.gyron.net/	39,424  	 
logo G-Core Labs S.A.	G-Core Labs S.A.	https://gcorelabs.com/	39,200  	 
logo Infobox	Infobox	https://infobox.ru/	38,912  	 
logo Hydra Communications Ltd.	Hydra Communications Ltd.	https://zare.com/	38,304  	 
logo Packet Host, Inc.	Packet Host, Inc.	https://www.packet.com/	38,144  	 
logo Joyent Inc.	Joyent Inc.	https://www.joyent.com/	37,888  	 
logo SWITCH Communications Group LLC	SWITCH Communications Group LLC	http://www.switchnap.com/	37,888  	 
logo SYN LTD.	SYN LTD.	https://syn.one/	37,632  	Yes
logo ISPpro Internet KG	ISPpro Internet KG	http://isppro.de/	37,248  	Yes
logo Reflected Networks	Reflected Networks	http://reflected.net/	37,164  	 
logo Carat Networks	Carat Networks	http://www.caratnetworks.com/	36,864  	 
logo Cyberverse	Cyberverse	http://www.cyberverse.com/	36,864  	 
logo westhost	westhost	http://www.westhost.com/	36,864  	 
logo velia.net Internetdienste GmbH	velia.net Internetdienste GmbH	https://www.velia.net/	36,618  	 
logo Netinternet Bilisim Teknolojileri AS	Netinternet Bilisim Teknolojileri AS	https://www.netinternet.com.tr/	35,328  	 
logo Seeweb S.r.l	Seeweb S.r.l	https://www.seeweb.it/	34,920  	Yes
logo Voxility	Voxility	https://www.voxility.com/	34,912  	 
logo Atlantic Metro	Atlantic Metro	https://www.atlanticmetro.net/	34,816  	 
logo Turnkey Internet	Turnkey Internet	https://turnkeyinternet.net/	34,816  	Yes
logo iomart Group plc	iomart Group plc	http://www.iomart.com/	34,352  	 
logo Nexcess.Net, LLC	Nexcess.Net, LLC	https://www.nexcess.net/	34,304  	 
logo Datasoft Networks Inc.	Datasoft Networks Inc.	http://datasoft.ws/	34,048  	 
logo HostDime.com, Inc.	HostDime.com, Inc.	https://www.hostdime.com/	33,800  	 
logo prolocation.net	prolocation.net	http://prolocation.net/	33,784  	 
logo AdvancedHosters	AdvancedHosters	https://advancedhosters.com/	32,768  	 
logo Bigtip, Inc	Bigtip, Inc	http://www.bigtip.com/	32,768  	 
logo Data Foundry	Data Foundry	http://www.datafoundry.com/	32,768  	 
logo datahouse.nl	datahouse.nl	http://datahouse.nl/	32,768  	 
logo EdgeUno Inc.	EdgeUno Inc.	https://edgeuno.com/	32,768  	 
logo Global Data Service JSC	Global Data Service JSC	http://www.gds.vn/	32,768  	 
logo High Speed Web, Inc.	High Speed Web, Inc.	http://www.highspeedweb.net/	32,768  	 
logo i3d.net	i3d.net	http://i3d.net/	32,768  	 
logo ipHouse	ipHouse	http://www.iphouse.com/	32,768  	 
logo Line Corporation, Ltd.	Line Corporation, Ltd.	http://line.me/	32,768  	 
logo LogicWorks	LogicWorks	http://www.logicworks.net/	32,768  	 
logo Netgroup Denmark	Netgroup Denmark	https://www.netgroup.dk/	32,768  	 
logo netriplex	netriplex	http://www.netriplex.com/	32,768  	 
logo Packetexchange, Inc	Packetexchange, Inc	https://packetexchange.eu/	32,768  	 
logo Servercentric	Servercentric	http://servecentric.com/	32,768  	 
logo Take 2 Hosting	Take 2 Hosting	http://www.take2hosting.com/	32,768  	 
logo travailsystems.com	travailsystems.com	http://travailsystems.com/	32,768  	 
logo VPLS	VPLS	https://www.vpls.com/	32,768  	 
logo webvisions.com	webvisions.com	http://webvisions.com/	32,768  	 
logo Core-Backbone GmbH	Core-Backbone GmbH	http://www.core-backbone.com/	32,512  	Yes
logo NFOrce Entertainment B.V.	NFOrce Entertainment B.V.	https://www.nforce.com/	32,262  	 
logo EDIS GmbH	EDIS GmbH	http://www.edis.at/	31,266  	Yes
logo Easyspace Ltd	Easyspace Ltd	https://www.easyspace.com/	30,831  	Yes
logo Codero	Codero	http://www.codero.com/	30,720  	 
logo Ikoula Sas	Ikoula Sas	https://www.ikoula.com/	30,687  	 
logo Missdomain Group AB	Missdomain Group AB	https://www.missgroup.com/	30,041  	 
logo availo.no	availo.no	http://www.availo.no/	29,952  	 
logo Landis Holdings Inc.	Landis Holdings Inc.	https://www.jaguarpc.com/	29,696  	 
logo Volume Drive	Volume Drive	http://volumedrive.com/	29,440  	 
logo Grid Telekom	Grid Telekom	http://grid.com.tr/	28,928  	 
logo SuperNetwork s.r.o.	SuperNetwork s.r.o.	https://www.superhosting.cz/	28,928  	 
logo Tagadab Ltd.	Tagadab Ltd.	http://www.tagadab.com/	28,696  	Yes
logo ASERGO	ASERGO	https://asergo.com/	28,672  	Yes
logo Broadriver Inc.	Broadriver Inc.	http://www.broadriver.com/	28,672  	 
logo Host Department LLC	Host Department LLC	http://www.hostdepartment.com/	28,672  	 
logo Perfect IP	Perfect IP	http://www.perfectip.net/	28,672  	 
logo Virtacore Systems	Virtacore Systems	http://www.virtacore.com/	28,672  	 
logo CtrlS	CtrlS	http://www.ctrls.in/	28,671  	 
logo AVAST	AVAST	https://www.avast.com/	28,372  	 
logo AltusHost B.V.	AltusHost B.V.	http://www.altushost.com/	28,116  	 
logo AltusHost B.V.	AltusHost B.V.	https://www.altushost.com/	28,116  	 
logo Infomaniak Network SA	Infomaniak Network SA	https://www.infomaniak.com/	27,808  	 
logo Continuum Data Centers	Continuum Data Centers	http://www.continuumdatacenters.com/	27,648  	 
logo Dedicated Servers	Dedicated Servers	http://dedicatedservers.net.au/	27,648  	 
logo Omnilance Ltd.	Omnilance Ltd.	http://www.omnilance.com/	27,136  	Yes
logo basefarm.com	basefarm.com	http://basefarm.com/	26,880  	 
logo IBM	IBM	https://www.ibm.com/	26,880  	Yes
logo Silicon Valley Web Hosting	Silicon Valley Web Hosting	http://www.svwh.net/	26,624  	 
logo WorldStream	WorldStream	https://www.worldstream.nl/	26,624  	 
logo CloudVPS (XLS Hosting)	CloudVPS (XLS Hosting)	http://www.cloudvps.com/	25,967  	 
logo Combell	Combell	http://www.combell.com/	25,856  	 
logo Vpsquan	Vpsquan	http://www.vpsquan.com/	25,688  	 
logo Beyond.pl	Beyond.pl	https://www.beyond.pl/	25,652  	Yes
